,algorithm,N,M,time,K
0,Leader,50000,1,1.3177530765533447,3
1,Leader2,50000,1,1.7176978588104248,3
2,Ldr_Medoid,50000,1,29.908267974853516,4
3,Ldr2_Medoid,50000,1,38.68917679786682,4
4,Ldr3_Medoid,50000,1,59.475369453430176,6
5,Leader,50000,5,0.009040355682373047,5
6,Leader2,50000,5,0.03519582748413086,5
7,Ldr_Medoid,50000,5,38.31076955795288,4
8,Ldr2_Medoid,50000,5,46.12497329711914,4
9,Ldr3_Medoid,50000,5,44.34583353996277,4
10,Leader,50000,10,0.015636205673217773,5
11,Leader2,50000,10,0.048389434814453125,5
12,Ldr_Medoid,50000,10,37.01207995414734,4
13,Ldr2_Medoid,50000,10,37.952109813690186,4
14,Ldr3_Medoid,50000,10,39.01497769355774,4
15,Leader,50000,25,0.033124685287475586,5
16,Leader2,50000,25,0.08750367164611816,5
17,Ldr_Medoid,50000,25,43.439850091934204,5
18,Ldr2_Medoid,50000,25,44.639631509780884,5
19,Ldr3_Medoid,50000,25,42.45397424697876,5
20,Leader,50000,50,0.053717613220214844,5
21,Leader2,50000,50,0.1599714756011963,5
22,Ldr_Medoid,50000,50,74.26944875717163,5
23,Ldr2_Medoid,50000,50,77.69011902809143,5
24,Ldr3_Medoid,50000,50,75.34263563156128,5
25,Leader,50000,100,0.09936833381652832,5
26,Leader2,50000,100,0.2856566905975342,5
27,Ldr_Medoid,50000,100,165.98010444641113,5
28,Ldr2_Medoid,50000,100,176.81693983078003,5
29,Ldr3_Medoid,50000,100,168.05002117156982,5
30,Leader,50000,1,0.006990909576416016,3
31,Leader2,50000,1,0.018543481826782227,3
32,Ldr_Medoid,50000,1,26.007511377334595,4
33,Ldr2_Medoid,50000,1,25.832818508148193,4
34,Ldr3_Medoid,50000,1,52.00541543960571,6
35,Leader,50000,5,0.00800323486328125,5
36,Leader2,50000,5,0.033118247985839844,5
37,Ldr_Medoid,50000,5,28.738927125930786,4
38,Ldr2_Medoid,50000,5,35.526082277297974,4
39,Ldr3_Medoid,50000,5,36.73072934150696,4
40,Leader,50000,10,0.011022567749023438,5
41,Leader2,50000,10,0.0416104793548584,5
42,Ldr_Medoid,50000,10,28.488459825515747,4
43,Ldr2_Medoid,50000,10,31.260603427886963,4
44,Ldr3_Medoid,50000,10,31.733919858932495,4
45,Leader,50000,25,0.02806544303894043,5
46,Leader2,50000,25,0.07581663131713867,5
47,Ldr_Medoid,50000,25,34.17697095870972,5
48,Ldr2_Medoid,50000,25,35.29947328567505,5
49,Ldr3_Medoid,50000,25,34.966731548309326,5
50,Leader,50000,50,0.058207035064697266,5
51,Leader2,50000,50,0.1468968391418457,5
52,Ldr_Medoid,50000,50,65.87510871887207,5
53,Ldr2_Medoid,50000,50,63.634294271469116,5
54,Ldr3_Medoid,50000,50,64.61626410484314,5
55,Leader,50000,100,0.09232831001281738,5
56,Leader2,50000,100,0.23617792129516602,5
57,Ldr_Medoid,50000,100,164.6537103652954,5
58,Ldr2_Medoid,50000,100,159.4092321395874,5
59,Ldr3_Medoid,50000,100,169.74703693389893,5
60,Leader,50000,1,0.005008697509765625,3
61,Leader2,50000,1,0.016157150268554688,3
62,Ldr_Medoid,50000,1,26.593045949935913,4
63,Ldr2_Medoid,50000,1,25.888710021972656,4
64,Ldr3_Medoid,50000,1,46.598228931427,6
65,Leader,50000,5,0.008033514022827148,5
66,Leader2,50000,5,0.03366565704345703,5
67,Ldr_Medoid,50000,5,27.485142469406128,4
68,Ldr2_Medoid,50000,5,36.13977575302124,4
69,Ldr3_Medoid,50000,5,37.77094006538391,4
70,Leader,50000,10,0.01948857307434082,5
71,Leader2,50000,10,0.14032411575317383,5
72,Ldr_Medoid,50000,10,29.6533100605011,4
73,Ldr2_Medoid,50000,10,31.51598882675171,4
74,Ldr3_Medoid,50000,10,32.90211534500122,4
75,Leader,50000,25,0.030596017837524414,5
76,Leader2,50000,25,0.07925677299499512,5
77,Ldr_Medoid,50000,25,34.53356742858887,5
78,Ldr2_Medoid,50000,25,35.47910499572754,5
79,Ldr3_Medoid,50000,25,36.660706996917725,5
80,Leader,50000,50,0.05305171012878418,5
81,Leader2,50000,50,0.1461811065673828,5
82,Ldr_Medoid,50000,50,65.27767610549927,5
83,Ldr2_Medoid,50000,50,63.67713284492493,5
84,Ldr3_Medoid,50000,50,65.73100519180298,5
85,Leader,50000,100,0.09585952758789062,5
86,Leader2,50000,100,0.24400830268859863,5
87,Ldr_Medoid,50000,100,156.22616124153137,5
88,Ldr2_Medoid,50000,100,174.45989084243774,5
89,Ldr3_Medoid,50000,100,166.70665407180786,5
