,algorithm,N,M,time,K
0,Leader,1000,25,0.0,5
1,Leader2,1000,25,0.0,5
2,Ldr_Medoid,1000,25,0.02399420738220215,5
3,Ldr2_Medoid,1000,25,0.024024486541748047,5
4,Ldr3_Medoid,1000,25,0.05605363845825195,5
5,Leader,1000,25,0.0,5
6,Leader2,1000,25,0.0,5
7,Ldr_Medoid,1000,25,0.040036678314208984,5
8,Ldr2_Medoid,1000,25,0.023541688919067383,5
9,Ldr3_Medoid,1000,25,0.031996726989746094,5
10,Leader,1000,25,0.0,5
11,Leader2,1000,25,0.0,5
12,Ldr_Medoid,1000,25,0.023990869522094727,5
13,Ldr2_Medoid,1000,25,0.01600790023803711,5
14,Ldr3_Medoid,1000,25,0.0320591926574707,5
15,Leader,5000,25,0.0,5
16,Leader2,5000,25,0.007997989654541016,5
17,Ldr_Medoid,5000,25,0.3921644687652588,5
18,Ldr2_Medoid,5000,25,0.448087215423584,5
19,Ldr3_Medoid,5000,25,0.4962656497955322,5
20,Leader,5000,25,0.0,5
21,Leader2,5000,25,0.012033939361572266,5
22,Ldr_Medoid,5000,25,0.3803694248199463,5
23,Ldr2_Medoid,5000,25,0.4203824996948242,5
24,Ldr3_Medoid,5000,25,0.4361710548400879,5
25,Leader,5000,25,0.007992029190063477,5
26,Leader2,5000,25,0.008002042770385742,5
27,Ldr_Medoid,5000,25,0.36014842987060547,5
28,Ldr2_Medoid,5000,25,0.40836119651794434,5
29,Ldr3_Medoid,5000,25,0.41617465019226074,5
30,Leader,10000,25,0.007990598678588867,5
31,Leader2,10000,25,0.016002893447875977,5
32,Ldr_Medoid,10000,25,1.4974250793457031,5
33,Ldr2_Medoid,10000,25,1.9686946868896484,5
34,Ldr3_Medoid,10000,25,1.7047619819641113,5
35,Leader,10000,25,0.007982730865478516,5
36,Leader2,10000,25,0.015995264053344727,5
37,Ldr_Medoid,10000,25,1.4406704902648926,5
38,Ldr2_Medoid,10000,25,1.5608890056610107,5
39,Ldr3_Medoid,10000,25,1.8169207572937012,5
40,Leader,10000,25,0.0080108642578125,5
41,Leader2,10000,25,0.016015291213989258,5
42,Ldr_Medoid,10000,25,1.4167251586914062,5
43,Ldr2_Medoid,10000,25,1.4576694965362549,5
44,Ldr3_Medoid,10000,25,2.0818583965301514,5
45,Leader,50000,25,0.03451800346374512,5
46,Leader2,50000,25,0.07753300666809082,5
47,Ldr_Medoid,50000,25,42.18203043937683,5
48,Ldr2_Medoid,50000,25,41.7306227684021,5
49,Ldr3_Medoid,50000,25,43.37959408760071,5
50,Leader,50000,25,0.032030582427978516,5
51,Leader2,50000,25,0.08003592491149902,5
52,Ldr_Medoid,50000,25,42.702242612838745,5
53,Ldr2_Medoid,50000,25,39.629374265670776,5
54,Ldr3_Medoid,50000,25,44.25224709510803,5
55,Leader,50000,25,0.03199911117553711,5
56,Leader2,50000,25,0.08002424240112305,5
57,Ldr_Medoid,50000,25,41.45209312438965,5
58,Ldr2_Medoid,50000,25,42.1666362285614,5
59,Ldr3_Medoid,50000,25,42.66216564178467,5
60,Leader,100000,25,0.06403040885925293,5
61,Leader2,100000,25,0.152083158493042,5
62,Ldr_Medoid,100000,25,177.4522190093994,5
63,Ldr2_Medoid,100000,25,160.59904384613037,5
64,Ldr3_Medoid,100000,25,177.87329125404358,5
65,Leader,100000,25,0.07593870162963867,5
66,Leader2,100000,25,0.19168424606323242,5
67,Ldr_Medoid,100000,25,170.90358352661133,5
68,Ldr2_Medoid,100000,25,149.03276944160461,5
69,Ldr3_Medoid,100000,25,144.21323013305664,5
70,Leader,100000,25,0.0795445442199707,5
71,Leader2,100000,25,0.18908047676086426,5
72,Ldr_Medoid,100000,25,191.46532678604126,5
73,Ldr2_Medoid,100000,25,176.67455744743347,5
74,Ldr3_Medoid,100000,25,170.03616046905518,5
